material,data_source,thickness,stressthickness,R,T,P
Cr-33W,Su,310.11768,63.40226147,0.36,295,0.27
Cr-33W,Su,320.61024,64.27440783,0.36,295,0.27
Cr-33W,Su,331.1028,66.25308095,0.36,295,0.27
Cr-33W,Su,341.59176,67.41213335,0.36,295,0.27
Cr-33W,Su,352.78128,69.12107339,0.36,295,0.27
Cr-33W,Su,363.27132,70.33844238,0.36,295,0.27
Cr-33W,Su,373.75956,71.61632584,0.36,295,0.27
Cr-33W,Su,385.64388,73.55121293,0.36,295,0.27
Cr-33W,Su,396.1296,74.68983062,0.36,295,0.27
Cr-33W,Su,406.61568,75.90408092,0.36,295,0.27
Cr-33W,Su,10.13088,4.089400527,0.48,295,0.27
Cr-33W,Su,23.15376,4.305432731,0.48,295,0.27
Cr-33W,Su,34.31808,3.976358565,0.48,295,0.27
Cr-33W,Su,44.55552,3.972649275,0.48,295,0.27
Cr-33W,Su,54.78336,4.917001758,0.48,295,0.27
Cr-33W,Su,65.01072,5.430227462,0.48,295,0.27
Cr-33W,Su,75.24048,6.66658557,0.48,295,0.27
Cr-33W,Su,86.40144,8.010381907,0.48,295,0.27
Cr-33W,Su,96.63216,9.512173154,0.48,295,0.27
Cr-33W,Su,106.8624,10.02557564,0.48,295,0.27
Cr-33W,Su,118.01328,11.68550442,0.48,295,0.27
Cr-33W,Su,128.23824,13.55635348,0.48,295,0.27
Cr-33W,Su,138.46368,13.80476235,0.48,295,0.27
Cr-33W,Su,148.68864,15.86985488,0.48,295,0.27
Cr-33W,Su,158.91792,17.36819891,0.48,295,0.27
Cr-33W,Su,169.1472,18.27452612,0.48,295,0.27
Cr-33W,Su,179.37216,20.06388777,0.48,295,0.27
Cr-33W,Su,189.59952,22.18041682,0.48,295,0.27
Cr-33W,Su,199.8312,22.8602361,0.48,295,0.27
Cr-33W,Su,210.05904,24.71367669,0.48,295,0.27
Cr-33W,Su,220.28688,24.91147419,0.48,295,0.27
Cr-33W,Su,230.50752,27.5566997,0.48,295,0.27
Cr-33W,Su,240.72912,28.46437948,0.48,295,0.27
Cr-33W,Su,250.9488,29.52217239,0.48,295,0.27
Cr-33W,Su,261.17376,31.0849,0.48,295,0.27
Cr-33W,Su,271.39488,32.29849517,0.48,295,0.27
Cr-33W,Su,281.61696,33.24989255,0.48,295,0.27
Cr-33W,Su,291.84144,34.47098121,0.48,295,0.27
