material,Tm_K,electro_negative,data_source,data_reference_doi,R,T,P,deposition_method,Crystal_Structure,Alloy_type,process_pressure,chamber_base_pressure_Pa,target_substrate_distance_cm,number_of_targets,target_power,Ar_flow_rate(sccm),substrate_type,substrate_prep,substrate_rotation ,Temperature_control,notation
Cr,2180,refractory,Su,Unpublished,0.48,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr,2180,refractory,Su,Unpublished,0.6,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-90W,3543.5,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,,Si [100] thermal oxide,,,,
Cr-33W,2685,refractory,Su,Unpublished,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-33W,2685,refractory,Su,Unpublished,0.24,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-33W,2685,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-33W,2685,refractory,Su,Unpublished,0.48,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-33W,2685,refractory,Su,Unpublished,0.6,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-68W,3210.2,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,,Si [100] thermal oxide,,,,
Cr-25W,2558.75,refractory,Su,Unpublished,0.08,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-25W,2558.75,refractory,Su,Unpublished,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-25W,2558.75,refractory,Su,Unpublished,0.24,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-25W,2558.75,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-25W,2558.75,refractory,Su,Unpublished,0.48,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-25W,2558.75,refractory,Su,Unpublished,0.6,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-32W,2664.8,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,,Si [100] thermal oxide,,,,
Cr-20W,2483,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,,Si [100] thermal oxide,,,,
Cr-6W,2270.9,,Zhou,10.1016/j.apsusc.2018.08.212,0.1,298,0.27,magnetron sputttering,BCC,Solid solution,0.27,6.00E-06,,,,,Si [100] thermal oxide,,,,
Cr-50W,2937.5,refractory,Su,Unpublished,0.08,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-50W,2937.5,refractory,Su,Unpublished,0.12,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-50W,2937.5,refractory,Su,Unpublished,0.24,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-50W,2937.5,refractory,Su,Unpublished,0.36,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-50W,2937.5,refractory,Su,Unpublished,0.48,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cr-50W,2937.5,refractory,Su,Unpublished,0.6,295,0.27,magnetron sputttering,BCC,Solid solution,0.27,,18,,,15,Si [100]native oxide,,,,
Cu,1357.77,,Shull,10.1063/1.363701,0.01,320,0,Thermal evaporation,FCC,Single element,1.20E-06,2.00E-08,,,,,Si (001) native oxide,,,TRUE,
Cu,1357.77,,Chocyk,10.1002/crat.200410376,0.021,298,0,Thermal evaporation,FCC,Single element,5.30E-05,4.00E-07,,,,,Si (001),chemical cleaning,,,
Cu,1357.77,,Chocyk,10.1002/crat.200410376,0.05,298,0,Thermal evaporation,FCC,Single element,5.30E-05,4.00E-07,,,,,Si (001),chemical cleaning,,,
Cu,1357.77,,Chocyk,10.1002/crat.200410376,0.144,298,0,Thermal evaporation,FCC,Single element,5.30E-05,4.00E-07,,,,,Si (001),chemical cleaning,,,
Cu,1357.77,,Chocyk,10.1002/crat.200410376,0.253,298,0,Thermal evaporation,FCC,Single element,5.30E-05,4.00E-07,,,,,Si (001),chemical cleaning,,,
Cu,1357.77,,Friesen,10.1103/PhysRevLett.93.056104,0.1,301,0,Thermal evaporation,FCC,Single element,,6.70E-08,,,,,Si(111),,,,
Cu,1357.77,,Abermann,10.1016/0040-6090(86)90303-2,0.1,300,0,Thermal evaporation,FCC,Single element,4.00E-07,4.00E-08,,,,,MgF2,,,TRUE,
Cu,1357.77,,Winau,10.1063/1.349313,0.1,110,0,Thermal evaporation,FCC,Single element,8.00E-07,8.00E-09,,,,,mica(001),dehydroxylated,,,
Cu,1357.77,,Winau,10.1063/1.349313,0.1,300,0,Thermal evaporation,FCC,Single element,8.00E-07,8.00E-09,,,,,mica(001),dehydroxylated,,,
Cu,1357.77,,Winau,10.1063/1.349313,0.1,570,0,Thermal evaporation,FCC,Single element,8.00E-07,8.00E-09,,,,,mica(001),dehydroxylated,,,
Cu,1357.77,,Pletea,10.1063/1.1858062,0.1,298,0.05,magnetron sputttering,FCC,Single element,0.05,1.00E-06,17.5,,,10,Si thermal oxide,,,,has 2 Pa and 6 Pa
Cu,1357.77,,Pletea,10.1063/1.1858062,0.1,298,0.2,magnetron sputttering,FCC,Single element,0.2,1.00E-06,17.5,,,10,Si thermal oxide,,,,also early state
Cu,1357.77,,Pletea,10.1063/1.1858062,0.1,298,0.5,magnetron sputttering,FCC,Single element,0.5,1.00E-06,17.5,,,10,Si thermal oxide,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,0.12,300,0.27,magnetron sputttering,FCC,Single element,0.267,1.30E-05,16,,,15,Cu 50nm,,,,base layer is Si [100] thermal oxide
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,0.012,300,0.27,magnetron sputttering,FCC,Single element,0.267,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,1.2,300,0.27,magnetron sputttering,FCC,Single element,0.267,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,1.8,300,0.27,magnetron sputttering,FCC,Single element,0.267,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,2.4,300,0.27,magnetron sputttering,FCC,Single element,0.267,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,0.012,300,1.33,magnetron sputttering,FCC,Single element,1.333,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,0.12,300,1.33,magnetron sputttering,FCC,Single element,1.333,1.30E-05,16,,,15,Cu 50nm,,,,
Cu,1357.77,,Kaub,10.1016/j.surfcoat.2018.10.059,1.2,300,1.33,magnetron sputttering,FCC,Single element,1.333,1.30E-05,16,,,15,Cu 50nm,,,,
